,DOY,max_vod,min_vod,mean_vod,q95_VOD,q05_VOD,first_VOD,last_VOD,Time
0,119,0.575,0.52,0.5400909090909091,0.571,0.52,,0.5435,2021-04-29
1,120,0.574,0.512,0.5442173913043479,0.5726,0.5151,0.5426666666666667,0.574,2021-04-30
2,121,0.593,0.522,0.5613333333333334,0.5918,0.52795,0.5683333333333334,0.5655,2021-05-01
3,122,0.681,0.551,0.5996666666666667,0.6562,0.5553,0.587,0.652,2021-05-02
4,123,0.696,0.582,0.6265,0.67065,0.59215,0.6493333333333333,0.631,2021-05-03
5,124,0.743,0.599,0.6507083333333333,0.6939,0.60795,0.634,0.657,2021-05-04
6,125,0.678,0.587,0.637625,0.6754,0.59175,0.6533333333333334,0.664,2021-05-05
7,126,0.697,0.602,0.6387916666666666,0.668,0.6064499999999999,0.652,0.641,2021-05-06
8,127,0.697,0.597,0.6403478260869565,0.6756000000000001,0.6081,0.6483333333333333,0.6575,2021-05-07
9,128,0.695,0.615,0.6593333333333333,0.694,0.6203,0.666,0.644,2021-05-08
10,129,0.822,0.653,0.7134583333333334,0.8157999999999999,0.66135,0.6726666666666667,0.6955,2021-05-09
11,130,0.715,0.623,0.6847083333333334,0.7127,0.6329,0.6993333333333333,0.696,2021-05-10
12,131,0.731,0.643,0.6855833333333333,0.72895,0.64575,0.6863333333333334,0.6819999999999999,2021-05-11
13,132,0.735,0.615,0.6725833333333333,0.71695,0.621,0.6920000000000001,0.6805000000000001,2021-05-12
14,133,0.725,0.629,0.6754583333333333,0.72005,0.633,0.6930000000000001,0.6845000000000001,2021-05-13
15,134,0.718,0.63,0.6744166666666667,0.70885,0.637,0.694,0.6715,2021-05-14
16,135,0.758,0.663,0.70025,0.736,0.6642,0.6796666666666665,0.6839999999999999,2021-05-15
17,136,0.819,0.665,0.7419166666666667,0.8152999999999999,0.6737500000000001,0.7103333333333334,0.767,2021-05-16
18,137,0.846,0.69,0.7743636363636365,0.8421,0.69885,0.7666666666666666,0.7625,2021-05-17
19,138,0.825,0.683,0.7423181818181818,0.82395,0.6883499999999999,0.8083333333333332,0.6890000000000001,2021-05-18
20,139,0.75,0.662,0.7046666666666667,0.7424999999999999,0.6686000000000001,0.7106666666666666,0.7015,2021-05-19
21,140,0.77,0.644,0.7125,0.7627,0.6576000000000001,0.737,0.71,2021-05-20
22,141,0.775,0.682,0.74425,0.77485,0.6981999999999999,0.751,0.7384999999999999,2021-05-21
23,142,0.805,0.708,0.7434166666666666,0.78695,0.70915,0.7533333333333333,0.7104999999999999,2021-05-22
24,143,0.769,0.663,0.7035,0.7648499999999999,0.6703,0.7200000000000001,0.697,2021-05-23
25,144,0.724,0.667,0.6897916666666667,0.7132499999999999,0.6693,0.6903333333333334,0.695,2021-05-24
26,145,0.809,0.659,0.725375,0.78485,0.67315,0.7003333333333334,0.754,2021-05-25
27,146,0.828,0.661,0.7222083333333332,0.79235,0.6736500000000001,0.7593333333333333,0.7095,2021-05-26
28,147,0.827,0.697,0.7479999999999999,0.7912,0.6992999999999999,0.7093333333333334,0.753,2021-05-27
29,148,0.829,0.655,0.7124583333333333,0.7744,0.6616000000000001,0.7596666666666666,0.7005,2021-05-28
30,149,0.75,0.642,0.6842083333333333,0.7234499999999999,0.6481,0.7130000000000001,0.6825,2021-05-29
31,150,0.727,0.643,0.6801666666666667,0.7155499999999999,0.6523,0.6903333333333332,0.683,2021-05-30
32,151,0.722,0.642,0.675375,0.71285,0.64705,0.6749999999999999,0.681,2021-05-31
33,152,0.738,0.638,0.6877083333333333,0.7253499999999999,0.64245,0.6916666666666665,0.6815,2021-06-01
34,153,0.714,0.64,0.6851250000000001,0.70985,0.64905,0.6813333333333333,0.7044999999999999,2021-06-02
35,154,0.712,0.628,0.6738333333333334,0.7083499999999999,0.6385000000000001,0.6796666666666668,0.687,2021-06-03
36,155,0.723,0.626,0.6739166666666666,0.7183499999999999,0.6328,0.6923333333333334,0.6875,2021-06-04
37,156,0.724,0.636,0.67925,0.7156499999999999,0.649,0.703,0.6944999999999999,2021-06-05
38,157,0.734,0.655,0.690875,0.72785,0.661,0.7040000000000001,0.71,2021-06-06
39,158,0.761,0.672,0.6962083333333333,0.7238,0.67815,0.6903333333333332,0.6925,2021-06-07
40,159,0.757,0.659,0.6981666666666667,0.72795,0.67115,0.7003333333333334,0.702,2021-06-08
41,160,0.739,0.658,0.6958333333333333,0.7377,0.6633,0.717,0.707,2021-06-09
42,161,0.746,0.64,0.6866666666666666,0.7347,0.6506000000000001,0.7053333333333334,0.7135,2021-06-10
43,162,0.747,0.643,0.687875,0.7223999999999999,0.646,0.7233333333333333,0.706,2021-06-11
44,163,0.746,0.637,0.6819583333333333,0.7165499999999999,0.64505,0.717,0.704,2021-06-12
45,164,0.739,0.614,0.6779999999999999,0.7111999999999999,0.64405,0.7046666666666667,0.6955,2021-06-13
46,165,0.715,0.65,0.6804583333333333,0.7103999999999999,0.6559,0.7023333333333333,0.6865,2021-06-14
47,166,0.708,0.639,0.6765,0.70585,0.64775,0.6993333333333333,0.6875,2021-06-15
48,167,0.713,0.629,0.6772083333333333,0.7127,0.6523,0.6960000000000001,0.6825000000000001,2021-06-16
49,168,0.719,0.628,0.6817916666666667,0.7137,0.64545,0.6960000000000001,0.706,2021-06-17
50,169,0.72,0.62,0.675625,0.7081999999999999,0.64215,0.7023333333333334,0.6955,2021-06-18
51,170,0.73,0.639,0.6792916666666667,0.7211,0.64975,0.707,0.6785,2021-06-19
52,171,0.846,0.637,0.7022499999999999,0.793,0.6441,0.7833333333333332,0.6930000000000001,2021-06-20
53,172,0.81,0.662,0.7128749999999999,0.7934,0.66645,0.798,0.6839999999999999,2021-06-21
54,173,0.723,0.644,0.6811666666666666,0.7178,0.6482,0.7086666666666667,0.692,2021-06-22
55,174,0.699,0.646,0.6721666666666667,0.6933999999999999,0.65345,0.6743333333333333,0.6735,2021-06-23
56,175,0.737,0.652,0.6984166666666667,0.7337,0.65695,0.684,0.6964999999999999,2021-06-24
57,176,0.874,0.661,0.7590869565217391,0.8551,0.6666000000000001,0.7555000000000001,0.747,2021-06-25
58,177,0.842,0.662,0.7330869565217392,0.8383999999999999,0.6811,0.8105,0.698,2021-06-26
59,178,0.787,0.652,0.7236250000000001,0.7846,0.65905,0.723,0.762,2021-06-27
60,179,0.839,0.67,0.773875,0.83885,0.6867500000000001,0.8163333333333332,0.773,2021-06-28
61,180,0.856,0.661,0.7601739130434784,0.8494999999999999,0.6666000000000001,0.7850000000000001,0.7715000000000001,2021-06-29
62,181,0.802,0.711,0.7727916666666667,0.79995,0.7219,0.7896666666666667,0.777,2021-06-30
63,182,0.852,0.68,0.7519583333333334,0.84285,0.6826500000000001,0.7723333333333334,0.717,2021-07-01
64,183,0.786,0.635,0.7045,0.7555999999999999,0.66115,0.751,0.708,2021-07-02
65,184,0.748,0.638,0.6893750000000001,0.73495,0.64535,0.7223333333333333,0.699,2021-07-03
66,185,0.736,0.612,0.6836666666666668,0.7316499999999999,0.6195,0.718,0.6845000000000001,2021-07-04
67,186,0.749,0.625,0.6835833333333333,0.7263499999999999,0.6415000000000001,0.722,0.6845,2021-07-05
68,187,0.742,0.635,0.68525,0.7221,0.63785,0.7193333333333333,0.691,2021-07-06
69,188,0.734,0.635,0.6878,0.7263999999999999,0.635,0.7183333333333333,0.71,2021-07-07
70,189,0.719,0.64,0.6775000000000001,0.7007,0.6533,0.6836666666666668,0.6915,2021-07-08
71,190,0.732,0.604,0.6834583333333333,0.7298,0.63915,0.7226666666666667,0.6839999999999999,2021-07-09
72,191,0.797,0.677,0.7326666666666667,0.79265,0.6837500000000001,0.766,0.724,2021-07-10
73,192,0.746,0.64,0.69,0.7404,0.64275,0.7186666666666666,0.6859999999999999,2021-07-11
74,193,0.847,0.677,0.7380416666666667,0.8271,0.6813,0.7279999999999999,0.703,2021-07-12
75,194,0.732,0.657,0.6880000000000001,0.7263999999999999,0.6583,0.7206666666666667,0.6735,2021-07-13
76,195,0.72,0.653,0.6822083333333334,0.70985,0.6563,0.706,0.6910000000000001,2021-07-14
77,196,0.827,0.641,0.707125,0.78955,0.6456500000000001,0.6993333333333333,0.7645,2021-07-15
78,197,0.834,0.676,0.75175,0.8284999999999999,0.6832,0.8106666666666666,0.7244999999999999,2021-07-16
79,198,0.75,0.603,0.6993333333333333,0.73925,0.66305,0.7263333333333334,0.717,2021-07-17
80,199,0.752,0.622,0.6854583333333334,0.7372,0.6339,0.7199999999999999,0.6895,2021-07-18
81,200,0.75,0.646,0.6901818181818182,0.73125,0.6479,0.723,0.692,2021-07-19
82,201,0.728,0.643,0.685625,0.72125,0.65515,0.7120000000000001,0.687,2021-07-20
83,202,0.732,0.642,0.6787083333333334,0.7162499999999999,0.6433,0.7036666666666666,0.6975,2021-07-21
84,203,0.731,0.646,0.68725,0.7237,0.64715,0.7243333333333334,0.684,2021-07-22
85,204,0.719,0.627,0.676125,0.71095,0.63375,0.6963333333333334,0.69,2021-07-23
86,205,0.713,0.64,0.6775416666666666,0.7067,0.64175,0.6903333333333332,0.7,2021-07-24
87,206,0.76,0.619,0.6872916666666667,0.7325499999999999,0.6406000000000001,0.6973333333333334,0.6910000000000001,2021-07-25
88,207,0.745,0.629,0.6807083333333334,0.7309,0.64615,0.7183333333333333,0.694,2021-07-26
89,208,0.741,0.628,0.6807083333333334,0.7226499999999999,0.6423,0.6999999999999998,0.677,2021-07-27
90,209,0.726,0.632,0.6745416666666667,0.70795,0.63545,0.6960000000000001,0.6905,2021-07-28
91,210,0.73,0.621,0.680125,0.729,0.64315,0.7206666666666667,0.6905,2021-07-29
92,211,0.743,0.635,0.6842916666666667,0.7219,0.63825,0.6843333333333333,0.6865,2021-07-30
93,212,0.732,0.661,0.6887083333333334,0.724,0.6643,0.676,0.6895,2021-07-31
94,213,0.729,0.634,0.6783333333333333,0.7193499999999999,0.6436000000000001,0.6993333333333333,0.674,2021-08-01
95,214,0.714,0.634,0.675125,0.70795,0.64105,0.6880000000000001,0.6835,2021-08-02
96,215,0.737,0.64,0.67575,0.6997,0.64505,0.6883333333333334,0.6955,2021-08-03
97,216,0.742,0.624,0.6720416666666668,0.7084999999999999,0.63025,0.6913333333333332,0.685,2021-08-04
98,217,0.714,0.632,0.674375,0.71185,0.6356,0.7083333333333334,0.6950000000000001,2021-08-05
99,218,0.709,0.613,0.6660833333333334,0.7007,0.62145,0.6933333333333334,0.6819999999999999,2021-08-06
100,219,0.704,0.604,0.6580833333333334,0.6992499999999999,0.6065,0.6673333333333334,0.692,2021-08-07
